Cấp 1,Cấp 2,Cấp 3,Cấp 4,Cấp 5,Tên ngành VSIC 2018,Từ khóa nhận diện và phân loại gói thầu,Nhóm lĩnh vực phân loại lại,Lĩnh vực chi tiết trong đấu thầu (phân loại lại),
,,89,,,Khai khoáng chưa được phân vào đâu,,,,
,,,891,8910,Khai thác khoáng hoá chất và khoáng phân bón,"Khai thác quặng phi kim, khai thác apatit",Công nghiệp,Khai thác,
,,,892,8920,Khai thác và thu gom than bùn,"Khai thác than bùn, thu gom than bùn",Công nghiệp,Khai thác,
,,,893,8930,Khai thác muối,Khai thác muối,Công nghiệp,Khai thác,
,,,899,8990,Khai khoáng khác chưa được phân vào đâu,Khai thác khoáng sản khác,Công nghiệp,Khai thác,
,9,,,,Hoạt động dịch vụ hỗ trợ khai khoáng,,,,
,,91,910,9100,Hoạt động dịch vụ hỗ trợ khai thác dầu thô và khí tự nhiên,"Vận chuyển dầu, vận chuyển khí, kho dầu thô, tàu chở dầu",Phi tư vấn,Phi tư vấn,
,,,,,,"Máy móc thăm dò, Thiết bị thăm dò, Thiết bị khai thác mỏ, Thiết bị khai thác dầu khí",Mua sắm hàng hóa,"Cung cấp dịch vụ, thiết bị khai thác mỏ",
,,,,,,Giàn khoan,Mua sắm hàng hóa,"Cung cấp dịch vụ, thiết bị khai thác mỏ",
,,99,990,9900,Hoạt động dịch vụ hỗ trợ khai khoáng khác,"Vận tải mỏ, kho quặng, bãi quặng",Phi tư vấn,Phi tư vấn,
,,,,,,"Dây chuyền sản xuất khai thác, Hệ thống khai thác, Hệ thống vận tải mỏ",Mua sắm hàng hóa,"Cung cấp dịch vụ, thiết bị khai thác mỏ",
,,,,,,"Thiết bị khai thác hầm lò, Thiết bị hầm lò, Thiết bị bốc xúc, Thiết bị vận tải mỏ",Mua sắm hàng hóa,"Cung cấp dịch vụ, thiết bị khai thác mỏ",
,,,,,,"Thiết bị đo, thiết bị kiểm định, thiết bị an toàn mỏ",Mua sắm hàng hóa,"Cung cấp dịch vụ, thiết bị khai thác mỏ",
C,,,,,"CÔNG NGHIỆP CHẾ BIẾN, CHẾ TẠO",,,,
,10,,,,"Sản xuất, chế biến thực phẩm",,,,
,,101,1010,,"Chế biến, bảo quản thịt và các sản phẩm từ thịt",,,,
,,,,10101,"Giết mổ gia súc, gia cầm","Sản xuất thực phẩm, thực phẩm đông lạnh, lò mổ",Công nghiệp,Thực phẩm,
,,,,10102,Chế biến và bảo quản thịt,"Chế biến thực phẩm, tủ đông, kho lạnh",Công nghiệp,Thực phẩm,
,,,,10109,Chế biến và bảo quản các sản phẩm từ thịt,"Chế biến thịt, tủ đông, kho lạnh",Công nghiệp,Thực phẩm,
,,102,1020,,"Chế biến, bảo quản thuỷ sản và các sản phẩm từ thuỷ sản","Chế biến thủy sản, chế biến hải sản, tủ đông, kho lạnh",Công nghiệp,Thực phẩm,
,,,,10201,Chế biến và bảo quản thủy sản đông lạnh,"Chế biến thủy sản, chế biến hải sản, tủ đông, kho lạnh",Công nghiệp,Thực phẩm,
,,,,10202,Chế biến và bảo quản thủy sản khô,"Chế biến thủy sản khô, kho lạnh, tủ đông",Công nghiệp,Thực phẩm,
,,,,10203,Chế biến và bảo quản nước mắm,"Sản xuất nước mắm, nước mắm đóng chai, kho nước mắm",Công nghiệp,Thực phẩm,
,,,,10209,Chế biến và bảo quản các sản phẩm khác từ thủy sản,"Thực phẩm, tủ đông, kho lạnh",Công nghiệp,Thực phẩm,
,,103,1030,,Chế biến và bảo quản rau quả,"Chế biến rau quả, kho lạnh",Công nghiệp,Thực phẩm,
,,,,10301,Sản xuất nước ép từ rau quả,"Sản xuất nước ép, nước ép rau quả",Công nghiệp,Thực phẩm,
,,,,10309,Chế biến và bảo quản rau quả khác,"Sơ chế rau quả, kho lạnh",Công nghiệp,Thực phẩm,
,,104,1040,,"Sản xuất dầu, mỡ động, thực vật","Sản xuất dầu thực vật, sản xuất mỡ từ động vật",Công nghiệp,Thực phẩm,
,,,,10401,"Sản xuất dầu, mỡ động vật","Sản xuất dầu từ động vật, sản xuất mỡ từ động vật",Công nghiệp,Thực phẩm,
,,,,10402,"Sản xuất dầu, bơ thực vật",Sản xuất bơ thực vật,Công nghiệp,Thực phẩm,
,,105,1050,10500,Chế biến sữa và các sản phẩm từ sữa,"Chế biến sữa, sản xuất bơ",Công nghiệp,Thực phẩm,
,,106,,,Xay xát và sản xuất bột,,,,
,,,1061,,Xay xát và sản xuất bột thô,"Xay xát, sản xuất bột",Công nghiệp,Thực phẩm,
,,,,10611,Xay xát,Xay xát,Công nghiệp,Thực phẩm,
,,,,10612,Sản xuất bột thô,Sản xuất bột thô,Công nghiệp,Thực phẩm,
,,,1062,10620,Sản xuất tinh bột và các sản phẩm từ tinh bột,Sản xuất tinh bột,Công nghiệp,Thực phẩm,
,,107,,,Sản xuất thực phẩm khác,,,,
,,,1071,10710,Sản xuất các loại bánh từ bột,"Sản xuất bánh, cung cấp bánh",Công nghiệp,Thực phẩm,
,,,1072,10720,Sản xuất đường,"Sản xuất đường, cung cấp đường",Công nghiệp,Thực phẩm,
,,,1073,10730,"Sản xuất ca cao, sôcôla và bánh kẹo","Sản xuất ca cao, sản xuất bánh kẹo, sản xuất sôcôla, bánh kẹo",Công nghiệp,Thực phẩm,
,,,1074,10740,"Sản xuất mì ống, mỳ sợi và sản phẩm tương tự","Sản xuất mì, sản xuất mì ống, sản xuất mì sợi",Công nghiệp,Thực phẩm,
,,,1075,,"Sản xuất món ăn, thức ăn chế biến sẵn","Sản xuất thực phẩm, sản xuất thức ăn",Công nghiệp,Thực phẩm,
,,,,10751,"Sản xuất món ăn, thức ăn chế biến sẵn từ thịt","Sản xuất thực phẩm, sản xuất món ăn, món ăn từ thịt",Công nghiệp,Thực phẩm,
,,,,10752,"Sản xuất món ăn, thức ăn chế biến sẵn từ thủy sản","Sản xuất thực phẩm, sản xuất món ăn, món ăn từ thủy sản",Công nghiệp,Thực phẩm,
,,,,10759,"Sản xuất món ăn, thức ăn chế biến sẵn khác",Thức ăn chế biến sẵn,Công nghiệp,Thực phẩm,
,,,1076,10760,Sản xuất chè,"Sản xuất chè, chè uống",Công nghiệp,Thực phẩm,
,,,1077,10770,Sản xuất cà phê,"Sản xuất cà phê, cà phê",Công nghiệp,Thực phẩm,
,,,1079,10790,Sản xuất thực phẩm khác chưa được phân vào đâu,Sản xuất thực phẩm,Công nghiệp,Thực phẩm,
,,108,1080,10800,"Sản xuất thức ăn gia súc, gia cầm và thuỷ sản","Thức ăn gia súc, thức ăn thủy sản",Công nghiệp,Thực phẩm,
,11,110,,,Sản xuất đồ uống,,,,
,,,1101,11010,"Chưng, tinh cất và pha chế các loại rượu mạnh","Sản xuất rượu, rượu mạnh",Công nghiệp,Thực phẩm,
,,,1102,11020,Sản xuất rượu vang,"Rượu vang, sản xuất rượu vang",Công nghiệp,Thực phẩm,
,,,1103,11030,Sản xuất bia và mạch nha ủ men bia,"Bia, sản xuất bia, sản xuất men bia",Công nghiệp,Thực phẩm,
